Country,Population,Total number of people living in extreme poverty,% of population
Lesotho,"2,319,863","674,581",29
Liberia,"5,219,546","2,272,088",44
Libya,"6,735,701","305,724",5
Lithuania,"2,794,000","19,054","0,7"
Luxembourg,613.894,1826,"0,3"
Macedonia,"2,077,000","56,923",3
Madagascar,"28,129,496","21,780,770",77
Malawi,"21,091,084","15,390,922",73
Malaysia,"31,530,000",501,"0,0"
Maldives,515.696,375,"0,1"
Mali,"20,699,132","8,309,664",40
Malta,514.564,342,"0,1"
Mauritania,"4,802,162","303,220",6
Mauritius,"1,265,000",3060,"0,2"
Mexico,"126,200,000","2,167,585",2
Moldova,"3,546,000","1,999","0,0"
Mongolia,"3,170,000","6,194","0,2"
Montenegro,621.873,7419,1
Morocco,"36,030,000","102,180","0,3"
Mozambique,"32,492,004","19,728,934",61
Myanmar,"53,710,000","338,525","0,6"
Namibia,"2,725,943","600,801",22
Nepal,"30,985,704","2,154,731",7
Netherlands,"17,280,000","40,560","0,2"
New Zeland,"4,886,000",605,"0,0"
Nicaragua,"6,522,010","251,131",4
Niger,"24,680,196","10,070,823",41
Nigeria,"209,724,544","90,968,877",43
North Korea,"25,947,122","14,551,534",56
Norway,"5,385,000","15,955","0,3"
Oman,"4,829,000","14,071","0,3"
Pakistan,"212,200,000","4,355,391",2
Palestinian territory,"5,159,000","25,899","0,5"
Panama,"4,177,000","62,253",1
Papua New Guinea,"8,822,326","2,688,837",30
Paraguay,"6,956,000","75,158",1
Peru,"31,990,000","897,895",3
Philippines,"110,437,344","6,083,950",6
Poland,"37,970,000","88,543","0,2"
Portugal,"10,280,000","25,173","0,2"
Puerto Rico,"3,194,000",29,0
Qatar,"2,782,000",4516,"0,2"
Romania,"19,410,000","346,948",2
Russia,"144,500,000","21,417","0,0"
Rwanda,"13,468,940","6,080,781",45
Saint Lucia,"177,267","8,932",5
saint vincent and the grenadines,110.21,"4,357",4
Samoa,196.13,1011,"0,5"
Sao Tome and Principe,"218,265","87,375",40
Saudi Arabia,"33,700,000","64,592","0,2"
Senegal,"17,524,952","5,057,663",29
Serbia,"6,982,000",2882,"0,0"
Sierra Leone,"8,210,561","3,540,519",43
Singapore,"5,639,000","50,188","0,8"
Slovakia,"2,081,000","47,773","0,9"
Slovenia,"2,081,000",1649,"0,1"
Somalia,"16,614,855","10,114,710",61
South Africa,"59,209,928","16,280,220",27
South Korea,"51,640,000","253,771","0,5"
South Sudan,"14,356,208","12,169,916",85
Spain,"46,940,000","300,364","0,6"
Sri Lanka,"21,670,000","64,970","0,3"
Sudan,"43,926,996","9,623,104",22
Suriname,"564,002","126,697",
Sweden,"10,230,000","33,128","0,3"
Switzerland,"8,570,000","7,169","0,1"
Taiwan,"23,570,000",4353,"0,0"
Tanzania,"64,305,528","29,168,146",45
Tayikistán,"9,101,000","119,852",1
Timor-Leste,"1,441,009","407,134",28
Togo,"8,452,871","3,914,077",46
Tonga,103.197,224,"0,2"
Trinidad and Tobago,"1,390,000",4046,"0,3"
Tunisia,"11,570,000","25,070","0,2"
Turkey,"82,000,000","15,209","0,0"
Turkmenistan,"6,136,572","1,837,805",30
Uganda,"48,771,616","18,651,575",38
Ukraine,"41,980,000","26,725","0,1"
United Arab United,"3,331,000","23,730","0,2"
United Kingdom,"66,650,000","88,530","0,1"
Uruguay,"3,449,000",102,"0,0"
US,"328,200,000","1,291,325","0,4"
Uzbekistan,"33,521,948","1,428,402",4
Vanuatu,"295,445","41,373",14
Venezuela,"33,538,304","17,900,850",53
Vietnam,"95,540,000","835,420","0,8"
Yemen,"31,298,736","19,582,218",68
Zambia,"19,327,572","11,422,331",59
Zimbabwe,"17,890,060","5,821,293",33
